Dataset,Run,Rows,Features,Training Time (s),Inference Time (s),Test Accuracy,Final Loss
data_500.csv,1,500,20,0.1948,0.0000,0.9200,0.0424
data_500.csv,2,500,20,0.1577,0.0020,0.9200,0.0424
data_500.csv,3,500,20,0.1557,0.0020,0.9200,0.0424
data_1000.csv,1,1000,20,0.3093,0.0000,0.9400,0.0670
data_1000.csv,2,1000,20,0.3076,0.0017,0.9400,0.0670
data_1000.csv,3,1000,20,0.3073,0.0000,0.9400,0.0670
data_5000.csv,1,5000,20,1.6978,0.0020,0.9680,0.0502
data_5000.csv,2,5000,20,1.5443,0.0000,0.9680,0.0502
data_5000.csv,3,5000,20,1.4426,0.0020,0.9680,0.0502
data_10000.csv,1,10000,20,2.7751,0.0000,0.9645,0.0455
data_10000.csv,2,10000,20,2.7998,0.0000,0.9645,0.0455
data_10000.csv,3,10000,20,2.7066,0.0000,0.9645,0.0455
data_50000.csv,1,50000,20,14.5845,0.0101,0.9826,0.0294
data_50000.csv,2,50000,20,14.2395,0.0122,0.9826,0.0294
data_50000.csv,3,50000,20,14.3366,0.0084,0.9826,0.0294
data_100000.csv,1,100000,20,28.1269,0.0145,0.9896,0.0246
data_100000.csv,2,100000,20,28.9378,0.0130,0.9896,0.0246
data_100000.csv,3,100000,20,28.5639,0.0181,0.9896,0.0246
