Dataset,Num_Layers,Run,Rows,Features,Training Time (s),Inference Time (s),Test Accuracy,Test Loss
data_500.csv,4,1,500,20,0.9808,0.1663,0.9200,0.5414
data_500.csv,4,2,500,20,0.9497,0.1120,0.9200,0.4430
data_500.csv,4,3,500,20,0.9369,0.1079,0.9300,0.3558
data_500.csv,8,1,500,20,1.8303,0.1345,0.8900,0.6753
data_500.csv,8,2,500,20,1.5581,0.1322,0.9200,0.5470
data_500.csv,8,3,500,20,1.4009,0.1302,0.9300,0.4919
data_500.csv,16,1,500,20,2.3208,0.1813,0.9200,0.9369
data_500.csv,16,2,500,20,2.3762,0.1822,0.9000,1.0806
data_500.csv,16,3,500,20,3.4325,0.1821,0.9200,0.9101
data_500.csv,32,1,500,20,5.2882,0.2550,0.9300,0.6255
data_500.csv,32,2,500,20,4.5666,0.2606,0.9000,0.4368
data_500.csv,32,3,500,20,9.3206,0.2665,0.9100,0.5259
data_1000.csv,4,1,1000,20,1.2121,0.1198,0.9400,0.1900
data_1000.csv,4,2,1000,20,1.1824,0.1126,0.9400,0.2015
data_1000.csv,4,3,1000,20,1.1564,0.1102,0.9400,0.2485
data_1000.csv,8,1,1000,20,1.7130,0.1373,0.9400,0.3717
data_1000.csv,8,2,1000,20,1.9564,0.1363,0.9450,0.3152
data_1000.csv,8,3,1000,20,1.8186,0.1373,0.9350,0.4501
data_1000.csv,16,1,1000,20,2.8993,0.1913,0.9150,0.6456
data_1000.csv,16,2,1000,20,2.6043,0.1920,0.9100,0.6442
data_1000.csv,16,3,1000,20,3.3599,0.1913,0.9500,0.3984
data_1000.csv,32,1,1000,20,6.3269,0.2753,0.9350,0.2803
data_1000.csv,32,2,1000,20,5.0324,0.2744,0.9200,0.4466
data_1000.csv,32,3,1000,20,6.9698,0.2808,0.9500,0.1879
data_5000.csv,4,1,5000,20,11.8605,0.1550,0.9590,0.1625
data_5000.csv,4,2,5000,20,11.6595,0.1461,0.9570,0.1423
data_5000.csv,4,3,5000,20,10.7959,0.1433,0.9570,0.1630
data_5000.csv,8,1,5000,20,21.7113,0.1854,0.9500,0.3131
data_5000.csv,8,2,5000,20,20.9771,0.1843,0.9550,0.2291
data_5000.csv,8,3,5000,20,22.8717,0.1939,0.9540,0.2789
data_5000.csv,16,1,5000,20,47.2064,0.2800,0.9570,0.2202
data_5000.csv,16,2,5000,20,44.4147,0.2597,0.9500,0.2270
data_5000.csv,16,3,5000,20,41.2027,0.2687,0.9430,0.2732
data_5000.csv,32,1,5000,20,93.0627,0.4068,0.9460,0.2444
data_5000.csv,32,2,5000,20,92.4672,0.5047,0.9560,0.1762
data_5000.csv,32,3,5000,20,89.6468,0.5255,0.9480,0.3114
data_10000.csv,4,1,10000,20,11.0350,0.1991,0.9510,0.1454
data_10000.csv,4,2,10000,20,11.0530,0.1865,0.9480,0.1460
data_10000.csv,4,3,10000,20,10.8310,0.1843,0.9465,0.1569
data_10000.csv,8,1,10000,20,22.3968,0.2461,0.9515,0.1788
data_10000.csv,8,2,10000,20,22.2485,0.2413,0.9370,0.2223
data_10000.csv,8,3,10000,20,20.7387,0.2419,0.9385,0.2332
data_10000.csv,16,1,10000,20,49.1922,0.3697,0.9455,0.2029
data_10000.csv,16,2,10000,20,46.3501,0.3579,0.9380,0.2844
data_10000.csv,16,3,10000,20,42.8234,0.3526,0.9400,0.2306
data_10000.csv,32,1,10000,20,99.3343,0.5794,0.9405,0.2249
data_10000.csv,32,2,10000,20,92.0850,0.5440,0.9425,0.2023
data_10000.csv,32,3,10000,20,86.8303,0.5315,0.9410,0.2273
data_50000.csv,4,1,50000,20,59.8545,0.5718,0.9767,0.1073
data_50000.csv,4,2,50000,20,40.4613,0.5156,0.9724,0.1090
data_50000.csv,4,3,50000,20,32.1999,0.7873,0.9731,0.1182
data_50000.csv,8,1,50000,20,62.3514,0.7314,0.9727,0.1018
data_50000.csv,8,2,50000,20,61.4107,0.7107,0.9703,0.1470
data_50000.csv,8,3,50000,20,59.2432,0.6539,0.9414,0.1695
data_50000.csv,16,1,50000,20,124.6584,1.0963,0.9674,0.1619
data_50000.csv,16,2,50000,20,113.6599,1.0744,0.9698,0.1535
data_50000.csv,16,3,50000,20,113.4698,1.0510,0.9662,0.1105
data_50000.csv,32,1,50000,20,228.8778,1.6944,0.9641,0.1681
data_50000.csv,32,2,50000,20,271.7797,1.9549,0.9660,0.2088
data_50000.csv,32,3,50000,20,272.2444,1.8647,0.9623,0.2497
data_100000.csv,4,1,100000,20,61.0469,0.9638,0.9875,0.0706
data_100000.csv,4,2,100000,20,61.0139,1.1069,0.9879,0.0635
data_100000.csv,4,3,100000,20,69.8283,0.9751,0.9862,0.0668
data_100000.csv,8,1,100000,20,134.7188,1.3896,0.9854,0.1121
data_100000.csv,8,2,100000,20,132.2651,2.2300,0.9855,0.0921
data_100000.csv,8,3,100000,20,126.6231,1.3440,0.9848,0.1165
data_100000.csv,16,1,100000,20,240.9834,1.9632,0.9848,0.1183
data_100000.csv,16,2,100000,20,260.1407,2.1739,0.9840,0.0834
data_100000.csv,16,3,100000,20,255.2127,3.3052,0.9831,0.1212
data_100000.csv,32,1,100000,20,504.6233,3.4630,0.9847,0.1486
data_100000.csv,32,2,100000,20,906.1195,3.9444,0.9820,0.1004
data_100000.csv,32,3,100000,20,635.4991,4.2192,0.9843,0.1535
